"latitud","longitud","user","id","address","price","title","review","rating","sector"
"51.56798310167885","-0.06388531246701362","2229307","9424745","LB of Hackney, Londres","76","Spacious Newly Decorated 2-BD!","0","0","bajo"
"51.52012292120011","-0.11583901593242166","44099292","8367177","Holborn, Londres","52","room in holborn","0","0","bajo"
"51.497525053923496","0.15423678283286782","38962849","7437765","LB of Bexley, Belvedere","62","Homely 1 Bed Flat","1","0","bajo"
"51.51604091745862","-0.017796788179337417","3106926","626038","Poplar, Londres","70","DESIGNERS working studio / flat","32","5.0","bajo"
"51.56294117723004","-0.09480180450998006","3914389","2490957","LB of Hackney, Gran Londres","73","Private studio flat Stoke Newington","26","4.5","bajo"
"51.54811934791371","-0.133533675244076","19862117","3851677","LB of Camden, Londres","73","Lovely bright 1 bed flat in NW5","3","4.5","bajo"
"51.48937075257727","0.05929651224021172","38777592","7401217","RB of Greenwich, Londres","70","Apartment London","0","0","bajo"
"51.51103789439943","0.05371802415945848","26253536","5093488","LB of Newham, Londres","64","Beckton Studio Flat","21","4.0","bajo"
"51.40659281958672","-0.07743527225123684","39501152","8961091","Crystal Palace, Londres","76","Large 2-bed garden flat for rent","0","0","bajo"
"51.54075350486019","-0.1801815011689097","24875721","7876351","Hampstead, <U+30ED><U+30F3><U+30C9><U+30F3>","67","Large Studio in South Hampstead","1","0","bajo"
"51.373806700747274","-0.11624928404770386","24755658","8947539","LB of Croydon, Croydon","70","1 BED FLAT 20MINS FROM CENTRAL LDN","1","0","bajo"
"51.586791120748366","-0.09296649114589975","2457111","6255273","LB of Haringey, Londres","74","Cozy 1 bed garden flat","2","0","bajo"
"51.56770414571668","-0.05422519000516562","9835591","2372971","LB of Hackney, london","62","Hackney one bed flat","7","4.5","bajo"
"51.410477193033316","-0.053941303617900845","27001468","5218912","LB of Bromley, Londres","76","Cosy Flat on Top Floor, Bromley","1","0","bajo"
"51.58159588848302","-0.02781714522882651","4303202","7013946","LB of Waltham Forest, Londres","62","Cozy in Walthamstow  - VIC LINE!","1","0","bajo"
"51.56193680541659","-0.13529645248319322","17074401","8395644","LB of Islington, Londres","74","CHRISTMAS IN LONDON","1","0","bajo"
"51.439167468813885","0.019005266229685985","30653670","5902663","Grove Park, Londres","61","Comfortable London flat for Xmas!","3","4.5","bajo"
"51.608553226154946","-0.34155685472628744","8363950","6676016","LB of Harrow, Harrow","76","One bed room flat","8","5.0","bajo"
"51.427206123030786","-0.0531535131606923","49240276","5001455","Sydenham, Londres","70","One bed 30 secs from the tube","1","0","bajo"
"51.57812306582702","-0.22752244251139206","6772051","1651273","LB of Barnet, Londres","76","Cosy & Modern Studio Flat in London","45","4.5","bajo"
"51.52978542244018","-0.2012977627589385","3645349","7417963","City of Westminster, Londres","55","Lovely Flat for Xmas-break & NYE","1","0","bajo"
"51.55569168214338","0.01189643845716605","15952625","3394461","LB of Waltham Forest, Londres","71","LONDON BUDGET STUDIO, SLEEPS 2-4.","15","4.0","bajo"
"51.41362185417474","-0.06928815335048649","7621037","1608341","Crystal Palace, Londres","70","Cozy 1 Bedroom Crystal Palace Flat","5","4.0","bajo"
"51.58316172009692","-0.37558959017131693","23814949","4594331","LB of Harrow, Pinner","62","delightful mini-studio for one","5","5.0","bajo"
"51.46806899304104","-0.07371169311690876","190494","550805","Camberwell, Londres","76","Self contained modern flat w garden","35","4.5","bajo"
"51.55596958798142","0.009664120140489712","15952625","3193616","LB of Waltham Forest, Londres","76","LONDON CARY'S BEDSIT, SLEEPS 4.","15","3.0","bajo"
"51.61074500739226","-0.42258562186082244","13498716","9410772","LB of Hillingdon, Northwood","63","Cozy christmas getaway in NW London","0","0","bajo"
"51.54824378396229","0.04290232178526619","35944356","6859174","LB of Newham, Londres","76","Spacious flat, 6min from Stratford.","7","4.5","bajo"
"51.50356374544979","-0.04488695605351774","10974121","8550029","Rotherhithe, Londres","70","Bright Apartment - Canada Water","4","4.5","bajo"
"51.56411989760462","-0.19723476051717195","29931198","5769413","Hampstead, Londres","76","Double size room in Hampstead, NW3","2","0","bajo"
"51.527435029045826","-0.08870413097055448","46405778","8865389","St. Luke's, <U+4F26><U+6566>","55","Really nice studio for you!","0","0","bajo"
"51.538564534296846","-0.07521092044056482","45908103","8753338","Haggerston, Londres","49","Little studio in Hackney, London","0","0","bajo"
"51.54336278104233","-0.116934367185082","8813163","3188327","Islington, Londres","70","A Private Room in N1","0","0","bajo"
"51.64320488416376","-0.13274591711168782","2555724","4265664","LB of Enfield, Londres","62","Bright flat in leafy Oakwood","3","5.0","bajo"
"51.46874455380669","-0.06636565540374612","36143622","6897690","Camberwell, Londres","56","Cosy STUDIO FLAT in LONDON :)","7","4.5","bajo"
"51.52072372270921","-0.21408312734527846","2178169","2630248","Notting Hill, Londres","76","Double room  near Portobello Road","4","4.5","bajo"
"51.47471823914785","-0.18906557381047753","737373","700043","Sands End, Londres","31"," 2 studio flats - central -zone2 ","2","0","bajo"
"51.5800639171365","-0.10334903061063076","10590162","2137085","LB of Haringey, Gran Londres","62","Awesome studio flat","3","3.5","bajo"
"51.41789051860205","-0.13626284735217822","31838473","6136945","Lower Streatham, LONDON","61","STREATHAM.ELEC GATED ART DECO slp8","1","0","bajo"
"51.606884275205914","0.2251371456789566","26611356","8604393","LB of Havering, Romford","62","Modern Space- 23mins to Stratford","0","0","bajo"
"51.51229291766253","-0.18501108993999524","11766544","7695845","Bayswater, Londres","70","Newly refurbished studio flat","0","0","bajo"
"51.55216368243178","-0.03337419397361679","3031944","3110866","LB of Hackney, Londres","67","newly refurbished flat in homerton!","3","5.0","bajo"
"51.47517555338743","-0.058033510385105624","7503697","3302301","Peckham, Londres","70","Modern flat near London bridge","0","0","bajo"
"51.43476041211466","0.11845354002383841","23803231","4591978","LB of Bexley, Sidcup","74","Cosy Maisonnette in a popular area","1","0","bajo"
"51.39182751937918","-0.31356146283126035","2526745","512979","RB of Kingston upon Thames, Surbiton","73","Sunny Surbiton welcomes you","5","5.0","bajo"
"51.39841861208757","-0.07910934192065398","2848656","579283","LB of Croydon, Londres","62","Beautiful garden flat South London","9","5.0","bajo"
"51.517570389516685","-0.05308570297544901","7084815","5123316","Stepney, Londres","76","Bright trendy flat, v close TUBE :","6","4.0","bajo"
"51.5845351674102","-0.09654725556606952","37073038","7071078","LB of Haringey, Londres","74","1 Bed Flat with sunny balcony","2","0","bajo"
"51.43253199859285","-0.10475509836625638","41621821","7894807","West Norwood, Londres","55","Cosy and colourful studio","2","0","bajo"
"51.47260778420836","-0.08510657708007542","19373497","8330048","Camberwell, Londres","76","Trendy Arty entire Flat in London","1","0","bajo"
"51.54367121118898","-0.5254173077131488","47761613","9178569","Iver","71","Self Contained 1 Bedroom Flat","0","0","bajo"
"51.595388029739574","0.022439523826008907","2178622","8209563","LB of Redbridge, Londres","64","CHARMING LOFT IN THE CENTRAL LONDON","0","0","bajo"
"51.571890203406696","-0.14162284880116993","30072781","5796508","LB of Haringey, Londres","62","Private 1 Bedroom Flat and Studio!","0","0","bajo"
